W4noSjP6xKQ	154094.0	150014.745451
XOBJob1EjcE	14403.0	14632.0284284
4bLFkWcaT3U	58981.0	58656.8897566
cOfPrP2Fg5w	78137.0	78418.4239145
ZliR74HRwGU	1265927.0	1287158.83691
-n7-bK7dZEM	302609.0	252749.816747
2aDlEovtzQ4	86696.0	106100.666108
1HFmyPxqhGs	6728.0	7314.61230323
YlA9-NnNYr4	99115.0	96118.4466214
4li1ubFQvx4	29489.0	29342.3683905
_ULO4kbhBfY	43696.0	42995.8418113
9u8cJ0poqX4	12810.0	12848.8904996
dsyfbwJmfJo	8365.0	8384.61659958
d7GRGqrxjv4	80826.0	85978.0231365
XEfKq-pQBcc	115635.0	113662.831604
4YOwEqGykDM	2848534.0	2840469.50971
WJzLSH0x92M	11734.0	11753.9375941
2Y5J3VUC9qM	965036.0	967112.400905
2S09laq98bM	155670.0	156263.493387
cL-tP03XoH4	303769.0	303702.216556
A2VaVjFeIaI	650063.0	650616.856828
cbqRh3FtCTU	236760.0	239301.050904
3KMWAF4EH5Q	1273024.0	1281844.25004
6oLCXu_2fac	436844.0	431869.328256
0ZhOtZoD1AY	78854.0	79044.9120551
dXOpytKwJfo	589565.0	317616.989973
-dGpGl-FzAw	666605.0	652557.773865
-SstE6WZwz8	209579.0	209965.196595
5KqUbJCEwfU	32317.0	30954.4042438
2E1hFF0Ubbo	423299.0	412155.728303
AF8Ep0aoRTg	26036.0	26712.6701614
5B5WImQXUhs	77299.0	72307.1577796
V6nCNlnNXcg	166650.0	167359.834281
47id_-Z5NY8	23505.0	24667.3751098
-fzP9a4Rff0	19768.0	20018.5887139
AILkp70R_5U	87925.0	80706.9685054
WaqEXiApLaE	1870252.0	1736901.75954
bPgE4ck5EbA	1661757.0	1692979.96081
7vDSPqAA59k	376349.0	404275.511736
6bFsRUpcpkU	10328058.0	10154922.5639
cxXIwduX_l0	1782266.0	1809526.01112
aJHCJ1oMGPs	166776.0	167932.735715
8qLaCSNQgHA	25292.0	25114.0558971
bU6LIljeeME	3190381.0	3134421.63132
3CVrLR0EbKU	198914.0	203914.751547
coricp4j84U	304305.0	306883.105815
b4pzTPOIv2A	562994.0	559803.959468
_xai1-qT4uA	664053.0	675896.713452
7ZwvRd39aew	15446.0	15176.8977641
622ULUnC7Yg	37786.0	38058.1517142
8gaEch78IUY	131659.0	135922.701011
1t9Ybu5Nayc	132858.0	109306.795435
dPFtgnNfyYQ	102776.0	106034.929374
7IzDvkOji4w	20869.0	20949.7710846
2aM12L3V7MI	358706.0	356974.415891
4TQ0poZZj9o	155247.0	155422.68375
_Qwq5f_o7bs	289958.0	298186.234535
2akAI06fnaA	170031.0	162894.884226
ZN7gm19VfkY	113459.0	115700.254962
4X0qv80VFv8	148801.0	151639.199123
Vl0UvqOew9E	340062.0	343006.749702
37B8DX-wOf4	1160279.0	1166786.82078
_9I0Rdawb_4	41016.0	41972.3947882
baoY0pddIR4	1542933.0	1583362.69085
2i6XMpFH0IA	223542.0	231437.829058
bRqem2paNQA	507098.0	504177.288952
4mTs7Z_Unv8	39327.0	39211.3682847
2XJutVHIsq8	298299.0	302087.580897
